,theta (CPhio),phi (CPhiO),phi (JSO),z (SIII Mag),phi (IAU_SUN),psi (Day-Night)
0,76.00855628746972,-20.576458446815025,-173.16818789006334,-3.7873748498128044,95.05738752108466,103.62830071013796
1,96.42534370617375,-160.91597064246307,-74.4523790385605,-1.4821999854194736,-81.4241760878981,144.82807754423138
2,89.17583269417821,-165.5921041824685,-75.99807175074285,-2.755160269712653,43.357117386209985,151.74531962319446
3,129.89413292338253,-18.577760340161646,144.01995169624,-3.893585138241594,21.996121772671458,128.12727573159552
4,171.04418218652177,-78.69921726026742,142.60883593958297,1.3771442542879317,146.68907325836457,97.45215145367868
5,159.14372793798316,-85.06914963848611,141.12676536637963,2.731614173776394,-88.56537842276147,106.68054883723363
6,145.88019186216175,-88.59890189844124,139.5836355953422,-4.228014356485229,36.2229275245719,115.44402606236797
7,134.8641045865203,-88.54027430587215,137.99949809499404,2.325939631334877,161.03437765107324,122.30291860424526
8,97.97909635624562,-38.714200410945104,136.37518830094223,2.1984256750278353,-74.12124520758756,168.69653475936215
9,99.82732870075431,157.79131937066106,128.96401988182018,4.17066596203311,-170.35641565085686,19.44942330531713
10,84.10855245729482,148.97101253802478,127.36482403358046,-0.7244869193620013,-45.52087388095656,8.613710155996083
11,61.447837514523044,71.74054134754861,-58.23041961655198,1.3347585858517428,-147.56779179472042,101.5226590344205
12,51.50867782166725,61.80776417606669,119.49262923534397,4.474627702435797,-141.41275429345347,88.59242145718527
13,46.508194864894904,88.76809089649468,117.87827167525147,-2.4462537997081495,-16.558494316550828,70.52475969414562
14,36.378825661576634,87.67228595021999,116.24421338094851,-1.4695812598189446,108.3084606068344,75.49192275582493
15,20.434175032049314,90.25830369027528,114.61640181145559,4.394016835465577,-126.83158913396026,80.84082854615455
16,41.09843728289113,154.49981661960138,113.06714551658736,-3.0849260771698233,-2.0178406598917404,48.15514787457878
17,40.41576339163326,170.41425567297452,105.65673703599688,2.1439229760239744,-98.16555294740478,48.73377124045829
18,88.02979969899492,-158.2867143508453,-157.20105953491782,3.3948574637853883,-138.65340878056406,134.39394812477252
19,83.94204935711984,-16.67616569518886,33.637267614280105,4.292311348539683,-128.71494595618668,106.78706990892125
20,92.30972017242999,96.34237806950198,97.58509778107356,-3.1790829313170703,-159.6342420376278,76.03139963310657
