Orbit,theta (CPhio),phi (CPhiO),phi (JSO),z (SIII Mag),phi (IAU_SUN),psi (Day-Night)
1,76.00855629,110.5764584,-96.83181211,-3.78737485,-5.057387521,103.6283007
2,96.42534371,-109.0840294,164.452379,-1.482199985,171.4241761,144.8280775
3,89.17583269,-104.4078958,165.9980718,-2.75516027,46.64288261,151.7453196
4,129.8941329,108.5777603,-54.0199517,-3.893585138,68.00387823,128.1272757
5,171.0441822,168.6992173,-52.60883594,1.377144254,-56.68907326,97.45215145
6,159.1437279,175.0691496,-51.12676537,2.731614174,178.5653784,106.6805488
7,145.8801919,178.5989019,-49.5836356,-4.228014356,53.77707248,115.4440261
8,134.8641046,178.5402743,-47.99949809,2.325939631,-71.03437765,122.3029186
9,97.97909636,128.7142004,-46.3751883,2.198425675,164.1212452,168.6965348
10,99.8273287,-67.79131937,-38.96401988,4.170665962,-99.64358435,19.44942331
11,84.10855246,-58.97101254,-37.36482403,-0.724486919,135.5208739,8.613710156
12,61.44783751,18.25945865,148.2304196,1.334758586,-122.4322082,101.522659
13,51.50867782,28.19223582,-29.49262924,4.474627702,-128.5872457,88.59242146
14,46.50819486,1.231909104,-27.87827168,-2.4462538,106.5584943,70.52475969
15,36.37882566,2.32771405,-26.24421338,-1.46958126,-18.30846061,75.49192276
16,20.43417503,-0.25830369,-24.61640181,4.394016835,-143.1684109,80.84082855
17,41.09843728,-64.49981662,-23.06714552,-3.084926077,92.01784066,48.15514787
18,40.41576339,-80.41425567,-15.65673704,2.143922976,-171.8344471,48.73377124
19,88.0297997,-111.7132856,-112.7989405,3.394857464,-131.3465912,134.3939481
20,83.94204936,106.6761657,56.36273239,4.292311349,-141.285054,106.7870699
21,92.30972017,-6.34237807,-7.585097781,-3.179082931,-110.365758,76.03139963
